"ï..DIRECTORIO","SECUENCIA_P","SECUENCIA_ENCUESTA","P6051","P6020","P6040","P5502","P6080","P8587","I_HOGAR","CANT_PERSONAS_HOGAR","REGION","P8520S1A1"
7122013,1,1,1,1,46,2,6,11,2337500,4,2,3
7122014,1,1,1,1,78,6,6,3,2400000,3,2,3
7122015,1,1,1,1,23,2,6,NA,2930000,2,2,2
7122020,1,1,1,2,35,2,6,11,1635000,4,2,3
7122023,1,1,1,2,27,5,6,NA,3158333.33333333,3,2,3
7122025,1,1,1,2,54,5,6,3,775000,3,2,1
7122026,1,1,1,2,57,4,6,3,284583.333333333,1,2,NA
7122027,1,1,1,1,48,2,6,5,703333.333333333,4,2,0
7122029,1,1,1,1,64,6,6,3,220000,2,2,0
7122030,1,1,1,1,56,4,6,3,716666.666666667,1,2,1
7122031,1,1,1,1,72,4,6,3,164166.666666667,1,2,0
7122033,1,1,1,2,81,4,6,3,260000,1,2,1
7122034,1,1,1,1,79,6,6,1,2750000,3,2,1
7122035,1,1,1,1,52,4,6,1,1300000,1,2,0
7122036,1,1,1,2,66,4,6,1,279166.666666667,1,2,2
7122037,1,1,1,1,55,2,6,3,1081666.66666667,4,2,2
7122038,1,1,1,2,46,4,6,1,828333.333333333,3,2,2
7122039,1,1,1,2,34,2,6,11,2120000,5,2,2
7122040,1,1,1,2,65,3,6,3,774166.666666667,4,2,2
7122041,1,1,1,2,47,2,6,3,2600000,2,2,2
7122042,1,1,1,2,60,6,6,3,2180000,5,2,1
7122042,2,1,1,2,29,2,6,11,2180000,5,2,1
7122044,1,1,1,2,45,6,6,5,6e+05,3,2,1
7122046,1,1,1,2,58,4,6,3,2793500,2,2,4
7122047,1,1,1,1,66,2,6,3,4866666.66666667,2,2,3
7122051,1,1,1,1,52,6,6,7,4400000,4,2,4
7122052,1,1,1,2,22,1,6,7,2105365.33333333,2,2,4
7122055,1,1,1,2,30,4,6,6,1156616,3,2,2
7122056,1,1,1,1,57,6,6,5,1200000,3,2,2
7122057,1,1,1,1,31,2,6,5,1321666.66666667,4,2,2
7122058,1,1,1,2,48,4,6,4,1e+06,3,2,2
