"P6020","P6040","P5502","P6080","P1895","P8587","I_HOGAR","I_UGASTO","REGION","P8520S1","P8520S1A1","HIJOS"
2,57,4,6,5,3,284583.333333333,284583.333333333,2,2,NA,0
1,48,2,6,10,5,703333.333333333,703333.333333333,2,1,0,2
1,64,6,6,10,3,220000,220000,2,1,0,0
1,56,4,6,10,3,716666.666666667,716666.666666667,2,1,1,0
1,72,4,6,10,3,164166.666666667,164166.666666667,2,1,0,0
2,81,4,6,10,3,260000,260000,2,1,1,0
1,79,6,6,7,1,2750000,2750000,2,1,1,1
1,52,4,6,9,1,1300000,1300000,2,1,0,0
2,66,4,6,7,1,279166.666666667,279166.666666667,2,1,2,0
1,55,2,6,10,3,1081666.66666667,1081666.66666667,2,1,2,2
2,46,4,6,9,1,828333.333333333,828333.333333333,2,1,2,2
2,34,2,6,6,11,2120000,2120000,2,1,2,3
2,65,3,6,10,3,774166.666666667,774166.666666667,2,1,2,0
2,47,2,6,8,3,2600000,2600000,2,1,2,0
2,60,6,6,4,3,2180000,2180000,2,1,1,1
2,29,2,6,10,11,2180000,2180000,2,1,1,1
2,45,6,6,10,5,6e+05,6e+05,2,1,1,0
2,58,4,6,6,3,2793500,2793500,2,1,4,1
1,66,2,6,9,3,4866666.66666667,4866666.66666667,2,1,3,0
1,52,6,6,10,7,4400000,4400000,2,1,4,2
2,22,1,6,10,7,2105365.33333333,2105365.33333333,2,1,4,0
2,30,4,6,8,6,1156616,1156616,2,1,2,2
1,57,6,6,5,5,1200000,1200000,2,1,2,0
1,31,2,6,8,5,1321666.66666667,1321666.66666667,2,1,2,2
2,48,4,6,10,4,1e+06,1e+06,2,1,2,2
1,71,2,6,9,3,2934333.33333333,2934333.33333333,2,1,2,1
2,34,2,5,8,3,545000,545000,2,1,2,3
2,24,2,6,10,9,2589523,2589523,2,1,2,0
1,63,6,6,8,3,1750000,1750000,2,1,2,1
2,62,6,6,8,3,3150000,1950000,2,1,3,0
2,32,4,6,8,9,1241666.66666667,1241666.66666667,2,1,2,3
1,34,6,6,7,3,1295000,1295000,2,1,2,2
2,50,4,6,2,5,550000,550000,2,1,2,1
1,67,2,6,10,7,3068116,3068116,2,1,2,0
2,38,6,6,9,NA,4348500,4348500,2,1,3,3
1,74,3,6,8,3,1528116,1528116,2,1,2,1
1,58,4,6,8,3,1528116,1528116,2,1,2,1
2,70,3,6,8,3,3300000,3300000,2,1,2,1
2,44,4,6,5,4,3300000,3300000,2,1,2,2
2,44,4,5,10,9,1774833.33333333,1774833.33333333,2,1,2,0
2,26,5,6,8,6,345833.333333333,345833.333333333,2,1,1,1
1,61,2,6,8,3,1280000,1280000,2,1,1,1
2,68,3,6,10,3,2561833.33333333,2561833.33333333,2,1,1,2
1,64,6,6,8,10,7e+05,7e+05,2,1,1,0
1,73,6,6,10,1,2030500,2030500,2,1,1,0
1,39,4,6,8,7,854000,854000,2,1,2,0
2,37,4,6,5,4,854000,854000,2,1,2,2
2,38,2,6,8,5,1100000,1100000,2,1,2,2
1,38,2,6,8,4,2278666.66666667,2278666.66666667,2,1,2,2
2,57,3,6,5,1,225000,225000,2,1,2,0
2,68,3,6,10,4,1828000,1828000,2,1,2,1
2,23,2,6,10,3,1030000,1030000,2,1,1,2
2,29,2,6,5,3,1030000,1030000,2,1,1,1
2,31,5,6,10,5,1288333.33333333,1288333.33333333,2,1,1,2
2,40,2,6,7,5,2527898.66666667,2527898.66666667,2,1,2,3
1,49,6,6,3,3,1175166.66666667,1175166.66666667,2,1,2,4
1,48,6,6,8,4,3850000,3850000,2,1,2,1
2,38,2,6,7,5,2530184.83333333,2530184.83333333,2,1,2,2
1,59,6,6,7,5,3539166.66666667,3539166.66666667,2,1,3,2
1,54,6,6,10,5,2128333.33333333,2128333.33333333,2,1,3,3
1,32,6,6,7,NA,2533333.33333333,2533333.33333333,2,1,2,0
1,56,6,6,10,5,1678116,1678116,2,1,3,0
2,51,1,6,10,7,2532032,2532032,2,1,3,0
2,69,5,6,7,5,1284366,1284366,2,1,2,0
1,20,5,6,5,5,8e+05,8e+05,2,1,2,0
1,56,4,6,10,3,2200000,2200000,2,1,2,0
1,45,2,6,8,5,1400000,1400000,2,1,3,1
1,26,1,6,9,NA,4100000,4100000,2,1,3,1
1,56,6,6,8,4,2825000,2825000,2,1,3,2
2,56,3,6,10,5,3025728.66666667,3025728.66666667,2,1,3,1
2,63,6,6,10,3,650000,650000,2,1,2,0
2,42,6,6,4,5,650000,650000,2,1,2,2
1,84,6,6,7,1,1694981.33333333,1694981.33333333,2,1,2,1
1,57,6,6,5,3,1694981.33333333,1694981.33333333,2,1,2,0
2,30,6,6,8,9,1694981.33333333,1694981.33333333,2,1,2,2
1,62,6,6,10,5,6200000,6200000,2,1,2,0
2,48,2,6,8,3,2285000,2285000,2,1,2,2
1,66,5,6,10,4,1e+06,1e+06,2,1,2,0
1,70,6,6,10,1,1300000,1300000,2,1,2,0
2,46,6,6,10,5,1300000,1300000,2,1,2,0
2,44,2,6,10,4,1300000,1300000,2,1,2,2
1,68,4,6,2,4,928116,928116,2,1,2,0
1,24,2,6,8,4,30000,30000,2,1,2,2
1,70,2,6,10,5,3140000,3140000,2,1,2,2
2,55,5,6,10,3,1325148,1325148,2,1,2,1
2,64,5,6,10,11,19100000,19100000,2,1,3,1
1,25,5,6,8,11,3975000,3975000,2,1,3,0
2,71,4,6,10,4,1855365.33333333,1855365.33333333,2,1,2,1
1,63,6,6,6,5,1340000,1340000,2,1,2,0
1,48,6,6,10,10,1953333.33333333,1953333.33333333,2,1,2,3
1,50,6,6,10,5,2883333.33333333,2883333.33333333,2,1,3,1
1,40,4,6,10,5,1800000,1800000,2,1,2,0
2,78,5,6,10,3,1092500,1092500,2,1,2,1
1,40,6,6,10,5,3695000,3695000,2,1,2,2
1,42,5,6,8,5,1700000,1700000,2,1,2,0
2,40,2,6,10,5,145000,145000,2,1,2,1
2,39,2,6,10,4,480000,480000,2,1,2,1
2,32,2,6,10,4,9e+05,9e+05,2,1,2,2
1,27,2,6,9,5,1310395.33333333,1310395.33333333,2,1,2,1
